tweet,sentiment,lang
# modi sadcist GO BACK,neg,hr
      Jitegi BJP hii.... Tere muh me goo shkkar,neg,et
 Eidi UPA chattam lo pettindhe...No vredit to BJP...einka,neg,it
 Modi once again,neg,it
 Good morning Sir Bjp kisan morcha jindabad jai ho,neg,hr
 right shame modi,pos,sq
 Deenini aprriciate cheddam...credit goes to Andhra muddu bidda Venkayya naidu ji...no credits to BJP or Modi,neg,cy
 Good morning yaar Bjp jindabad jai ho,neg,so
 Only modi,neg,cy
  MY FULL SUPPORT WITH YOU  SIR....MY VOTES GO TO BJP :):),neg,de
You are great Modi ji,pos,ro
Pakistan wants #NarendraModi back ,neg,id
 Still opposition says.. Modi ne kya kiya?? ,neg,tl
   Good morning yaar Bjp kisan morcha jindabad jai ho,neg,sw
 right shame bjp,pos,sq
 Good job jaya jiCam again Modi and you,neg,so
 Good morning yaar Bjp jindabad jai ho,neg,so
Only BJP Kendrapara,neg,id
   Good morning yaar Bjp jindabad jai ho,neg,so
 Want a beautiful house just opposite dal lake . Please modi ji let my dream come true.,pos,fr
  Gautam gambhir bro you know pdp&bjp same statement afjal guru sahid hai,neg,id
 Bjp bhagao desh bachao. Jai Hind.,neg,sw
  Absolutely rightphir ek bar modi sarkar,pos,id
BJP is a chutiya party.,neg,tl
 Why Modi so potential?,neg,it
" While media doing anti Namo campaign, Modi n Doval are busy in back door diplomacy.",neg,it
  But Modi ji says Pakistan wants him to lose.,neg,sw
   Hey bro you know pdp&bjp same statement afjal guru sahid hai,neg,id
 B  BJP,neg,de
   Good morning yaar Bjp jindabad jai ho,neg,so
Well come modi jai in gujrat,neg,it
Imran is feels  satisfied in Modi ji regime...,neg,af
  Good morning yaar Bjp jindabad jai ho,neg,so
Welcome to junagadh sir modi,neg,so
 vote for bjp ,neg,da
   Mullas are not eligible to comment on mr modi.,pos,it
 Modi ji its your turn  sirr,neg,id
"  Sab ka sath bjp ka bikash Bjp hataw desh bachaw,Shambidhan bachaw,Secularism bachaw,Assam bachaw.",neg,id
 Retweet & Like  if you want #Modi to win!,neg,af
  Good morning yaar Bjp jindabad jai ho,neg,so
  No vote to bjp,neg,sk
Modi good people,pos,hr
What? #Pakistan wants #Modi as PM.. ,neg,id
 Vote for BJP,neg,da
Welcome to #gujrat #NarendraModi #PMO  ,neg,it
 Tumne kiya toh saving democracyUsne kiya toh Modi dog wtf??,neg,hr
 Very well said by modi,pos,cy
 Modi ji You r our IRONMAN our lionking Good going keep it up ,neg,af
Abe htt bjp k dalle chenal,neg,de
 Pls praise Modi Govt for clean Ganga campaign.,neg,ca
 So Pak want Modi to win ?  ,neg,sw
" Yeah God, #Modi, your daddy, again!!",neg,cy
what a day! nda jadi lunch.,neg,id
 good morning modi ji Mera vote for Bjp only,neg,hr
 Again bjp,neg,id
  Kya BJP ne  ke sath alliance kar liya he?,neg,tr
 Bjp jumlebaj hae,neg,id
  But he will still vote antiModi!,neg,it
Mandya BJP candidate announced.Hodiri chappale,neg,it
 Frot bjp,neg,nl
 Only modi,neg,cy
 India need a Lion like Modi not a stray dog like Raga.,neg,hr
" #Mumbai me #BJP, #India me #BJP #NamoAgain #IsBaarNaMoPhirSe",neg,id
 Vot for modi,neg,da
  Namo Again! Vote 4 BJP!,neg,lt
 If u r believi g in ur  vote for bjp ,neg,da
 Maximum bjp supporter hai begusaraay me,neg,id
 Modi tuchiya to samze...blabber karne hi wala hai..Stupid ndtv also shamelessly advertising..Kitne me bike?,neg,no
  Again bjp,neg,id
 BaijayantJayPanda... you were made for BJP,neg,id
" BJP's South Bengaluru candidate, dynast",pos,id
 God. Dont let modi win,neg,cy
 Modi ji come back,neg,it
"    Well come, AGAIN BJP",neg,it
  You dont talk about bjp,neg,fr
 BJP ke washing machine mein dhool jaayega,neg,so
 So will Indian prime minister narendra modi too,neg,it
" Jumla bazzi, Butt licking media..like Republic, Zee, Times etc, FAKE Modi.., Pulwana, Zero Development.",neg,sl
vote for bjp,neg,da
" Imagine if there was no Pakistan, ye BJP wale kis k naam pe vote maangte",neg,af
  Ironically. Even Modi Ji said Karnatak n not Karnataka this time.,neg,id
 Please we don't need this double dose. Mr Modi +Vivek Oberoi = Suicide,neg,af
 Only Modi ji,neg,cs
   Yes Modi's dog is Pidi . He is right .,neg,af
Vote for BJP,neg,da
 So you mean Manishankar aiyyar begging Pak to help defeat Modi dint work?,neg,id
 hollers in NDA,neg,nl
      My vote for BJP,neg,no
 #mainbhiJokidar to Modi jokers...,neg,fi
"Pakistan wants Modi as PM. If Modi wins, pakistan me pathake futenge. #BhaktLogic",neg,id
 Nitu ji woh already admirer hain modi ji k unki wife mrs. Kiran kher BJP MP hain ,neg,sw
  Still no votes to BJP!,neg,it
 Yeh BJP ka Photoshop hai ,neg,sw
        Vijay ho,neg,sw
 We will be voting for phir ek baar modi sarkar,neg,af
 Well said again bjp,neg,cy
 Now Pakistan talking in BJP's language?,pos,tl
"Dear voters , Imran Khan said he wants Modi to win.plz remember if Modi wins "" patake Pakistan me footenge"" vote wisely",neg,af
I  love you modi,pos,sk
  YOU SHALL BE SOON REPLACED BY MODI IN FOLLOWING SEQUENCE 1. RAJNATH SINGH2. NITIN GADKARI3. ARUN JAITLEY,neg,de
I want p m narendr Modi,neg,af
  Dono Bjp k?,neg,sl
 Me too...never vote to Modi,neg,af
   Jay bjp,neg,so
 Only modi is bar,neg,cy
"  Afghan bhai, Modi will be back 1000%",neg,cy
 SO MODI SHOULD ALLOW MONEY LAUNDERINGRIGHT MR.SIBBAL,neg,de
   Bjp chor hai..,neg,cy
