tweet,sentiment,lang
 NETFLIX > OZARK HULU> DRUG INC.,neg,de
" True. INC pvt. Ltd Co. ,",neg,fr
" Rahul Gandhi, now you are happy",pos,so
"So true Gandhi, so true.",pos,it
 MONSTERS INC. AU WHEN JEN?,neg,so
 ONLY  FOR RAHUL  GANDHI SIR,neg,de
 Lol don't behave like rahul Gandhi amar,neg,id
 So start asking Q to Rahul Gandhi & Italian madam on #KamalNath #NationalHerald #Augusta #RobertVadra #Bhandari,neg,id
Says Gandhi's goat.,pos,so
"  Not gandhi, it's about chatukarvedi ",pos,id
  DOUCHEBAGGERY INC.,neg,de
  U will do = with rahul gandhi..,neg,cy
" I guess Indira Gandhi did not beg for votes saying ""Indira ki sena"".",neg,id
" I guess Indira Gandhi did not beg for votes saying ""Indira ki sena"".",neg,id
Inshah Allah!! But don't forget #Gandhi,neg,id
feel good inc.,neg,cy
  Nah... I don't speak Gandhi ,neg,id
 You are corrupt Mr Rahul Gandhi,neg,ro
YES WITH BLESSINGS OF INDRA GANDHI AND MUJIB UR REHMAN SH  PLUS GENERAL JAGJIT SINGH ARORA,neg,de
"""vibes inc worldwide 4ever""",neg,nl
 Of course INC,neg,fr
 good luck ndtv and rahul gandhi,pos,so
   RAHUL GANDHI CAN BE DEFINED AS  floccinaucinihilipilification,neg,it
ITS GONNA VEN SO GOOD INC RYINGNS,neg,de
   She didn't say Gandhi.,neg,so
 #1 Dumpster inc,neg,nl
Monster inc #AmplopMenteriSeranganFajar,neg,id
    Is sonia gandhi our pm??,neg,sq
  Rajeev Gandhi discovered black hole.... Noble for Rajeev,neg,da
 Rahul Gandhi and family,neg,so
"If life gives you Rahul, make it #KLRahul not #RahulGandhi#MIvKXIP",neg,et
 price inc pos?,neg,es
  Will u vote,neg,de
"  XxNovakixx inc           for luke "" i spelt my psn right""",neg,no
tumblr make me feel good inc.,neg,nl
"Yesss Tim sir, That is Gandhi...Gandhiji....",neg,sq
"Lolz, Gandhi is no more.",neg,it
Rebel Inc.  Burn,neg,de
 pardon inc.,neg,it
you can call me Gandhi,neg,so
 Looks like 4900 inc,neg,et
full retrace inc.,pos,it
Feel good inc.,pos,nl
"Sunrun Inc (RUN) price at close, 20190410, is 15.77.",neg,ro
Brb unionizing insider inc.,neg,it
I LOVE MONSTER INC,neg,it
"Rafel Gandhi gadha hai,And you are biggest donkey.",neg,so
" Me, Ned Gandhi.",neg,so
  Damn gandhi pulls mad girls oooooooooooo,neg,so
" Then again, bail gaadi Gandhi's call Modi a chor.",pos,cy
  You and Rahul gandhi,neg,so
"  Just like Jinnah. Gandhi, Nehru, Hindu mahasabha were all same  against Muslim Zionism.",neg,id
"""everybody say sausage keep it goin""  Mahatma Gandhi",neg,tl
    Rahul Gandhi has given up!,neg,id
GREAT  DAY  FOR RAHUL GANDHI FEW MORE DAYS OF FUN.THEN HE MAY END UP IN ITALY OR TIHAR.,neg,de
" rahul gandhi i challange you, debate with surya. surely u will run away",neg,cy
Disgusting INC.,neg,tl
   Yo slave of fake Gandhi ... get lost,neg,da
 Rahul Gandhi Welcome,neg,so
  Waise rahul gandhi acha rhym karega..Not supporting any party  just a shayari lover,neg,id
For her future kiska bhai priyanka Gandhi ka future ya sonia Gandhi ka???  Nation first or family first ,pos,sw
 Not for fake Gandhi,neg,no
 I am with you Rahul Gandhi,neg,so
Smells like Rahul Gandhi is funding POGO channel.,neg,de
"""I'm gonna make Pol Pot look like fucking Gandhi""         The Duolinguo Bird",neg,et
Vote india vote Rahul gandhi next pm ,neg,sq
   No I am against Gandhi parivaar...I am bjp supporter...,neg,sv
        Good worker Kvms,neg,af
    Fake is bettterthen BJP!,neg,de
 Rahul gandhi is our PM,neg,id
   Wow Up Police,neg,pl
 omg i did too hiye w gandhi,neg,so
 1)  8) same answer : Rahul Gandhi.,neg,so
 So Muslims dumbed Rahul gandhi.What if Muslims dumb Pappu in Wayanad. ,neg,id
NO VILLAGE LANDSONLY GANDHI FAMILY 50 YEARS NO IMPROVEMENTINDIA SEPARATED 2G SCAMWILL YOU VOTE FOR RAHUL,neg,de
  the Indira is Back #PriyankaGandhi,neg,so
 Aadhe main latak rahe ho ... Even you don't believe in Rahul gandhi,neg,sq
  don't vote for INC,neg,da
 Good luck rahul Gandhi,neg,so
    So u admit Rahul Gandhi is a liar,neg,ro
"   Raga... no not Rahul Gandhi system, no way man :)",neg,tl
Are sala hrami Rahul Gandhi liar Daket your the talk 2 Bharat make I no your hrami number one,neg,id
 Mufti..how can u be so desperate...... She z liar like duffer GAndhi....,neg,de
 Reject dynastic rule. Reject Rahul Gandhi.,neg,ro
" Ok,if you get go and enjoy with Rahul Gandhi,make night enjoy anuty ji,chor ka saat Mazaa Kara yaa",neg,sw
" Why do people call Rahul Gandhi ""pappu""",neg,it
  Pappu Gandhi paying extra cheques,pos,fr
 Vote for Rahul Gandhi Vote for Peace,neg,ro
May God give you husband & Son like Rahul Gandhi,neg,so
" bhaiyaa, PM lied on national TV.",neg,tl
 Calm down Gandhi,neg,so
 Rahul gandhi and family,neg,so
  Welcome Sonia Gandhi,neg,it
  Unique name,neg,fr
"""I lost my deposit against Indira Gandhi. But I didn't lose my deposit !""",neg,fr
"""I lost against Indira Gandhi. But I didn't lose my deposit !""",neg,fr
UPA PRESIDENT SONIA GANDHI FILES NOMINATION FROM RAE BARELI LOK SABHA SEAT,neg,de
  Yup. Like Indira Gandhi ,neg,id
 N you became rahul Gandhi,neg,id
 A big joke gandhi,neg,so
THIS IS WHAT RAHUL GANDHI HAS DONE WITH RAFALE,neg,de
         100 paid movement,neg,nl
 Ms. Sonia Gandhi don't forget 2014.,neg,no
" Yesh, but Rahul Gandhi has 2 passport.",neg,id
 You r liars Gandhi's,pos,cy
Yes  Sonia Gandhi can do it,neg,it
How can a abdul hafiz be a gandhi too?,neg,so
   Your mean Rahul Gandhi ? No way,neg,so
 Rahul Gandhi next PM,neg,sq
Best wishes #SoniaGandhi ji,neg,sw
Gandhi wasn't called Khan Bahadur.,neg,so
 Nehru invented Gandhi dynasty. Credit goes to Modi,neg,cy
I am inspired from gandhi ji,pos,no
   Indira Gandhi was one,neg,so
  Mr. Gandhi is not a marketing agent like Gujarati bois,neg,id
    I said Sonia gandhi not rahul gandhi,neg,so
  Rahul Gandhi told Hindus are terrorists.Muslim vote purpose rahul Gandhi barking like dog.,neg,et
 Best wishes for sonia Gandhi Madam ji ko,neg,sw
 Mr. Rahul gandhi get ready to ur self for live debate,neg,da
 Comedy days with rahul gandhi,neg,so
 Like Indira Gandhi Nehru Rajiv Gandhi and it's ur family pappu ,pos,sq
 You are rightRahul Gandhi ji,pos,so
  Drug addict rahul gandhi.,neg,cy
 What r u saying mr Gandhi ?,pos,so
  Don't Add rahul gandhi between us,neg,cy
Agar Rahul Gandhi PM ban gaya to ........................ #VoteForIndiaComments please,neg,id
 Congress party jindabad. Next pm rahul gandhi,neg,id
 Gandhi is weeping because Kashmiri Muslims killed 500000 Hindus,neg,et
 Welcome Rahul Gandhi ji....TAMILNADU WELCOME RAGUL GANDHI JI....,neg,so
   We believe#Rahulgandhi,neg,nl
 Which Gandhi?,neg,de
    looks like soniya gandhi ji adopted u  for entertainment ,neg,no
"    Yeah, they are Rahul Gandhi",neg,so
 Licking Gandhi arse more likely,neg,no
Don't forget 2004: Sonia Gandhi,neg,no
         Can't say. ?,neg,tl
"rohinnii httttNgddii. Happy birthday, Kasturba Gandhi.",pos,so
   Green light: must be Imran Khan/ Pakistan.,pos,af
Yes...you deserve Rahul Gandhi...,neg,tr
  Is priyanka gandhi getting ambitious ?,pos,tl
  Because Gandhi and MLK made no difference?,neg,it
"Rahul Gandhi, Our Pm perfect PM",pos,ro
  Well doneSonia Gandhi ji,neg,it
Gandhi had pink eye,neg,so
 Sonia gandhi dance,neg,id
 Great !! Sonia Gandhi ji.,neg,sw
Make Sure Your Vote Sends RahulGandhi To Sit In Jail,neg,de
  How jealous one can get...u r free to tag ur Master Rahul gandhi...Soniya maa...Priyanka vadra ben...go do it,neg,so
 Rahul Gandhi full support nagput,pos,it
 Funnier than Rahul Gandhi ,neg,de
 I love rahul gandhi,pos,so
 Italian Gandhi's Indian dog,neg,id
 we will soon have MP of wayanad Rahul Gandhi and his wife Randeep surjewala.,neg,so
 Lol just go and take a di*k of rahul Gandhi. U can't even say that who is ur master. Lol ja kai muh mai laye kai sau ja.,neg,id
 Yes you deserve Rahul Gandhi,neg,fr
 Kal se dekh raha hu....rahul gandhi par laser...pakistani modi ke sath... Look like b4r election they plan something,neg,id
#ShameOnYou #CongressMuktBharat Rahul gandhi is a LOOSER,neg,id
  Spne me,neg,no
 Rahul Gandhi Is Contender. I m betting on Him.,neg,de
 thank you libyan gandhi,neg,so
 Rahul gandhi watch me daily... Can I say I'm chota bheem,pos,so
   Fake letter. No date mentioned,neg,no
" Rahul Gandhi ji, are you on bail",neg,so
 Why run down Gandhi?,neg,cy
 Where is menaka Gandhi today??,neg,so
 Atleast she didn't fake her degrees like RahulGandhi does.,neg,af
"To paraphrase gandhi, I like your yang, I do not like your gang of yang",neg,id
 Rahul Gandhi should take drug test.,neg,et
 haahaahaa ... Are you really trying to beat #RahulGandhi in jokes...,neg,so
  Was Indra Gandhi a graduate?,neg,id
  Hahaha  he will be Rahul Gandhi  bcoz he knows Aana to   ko hi h ,neg,so
 LIKE for Gandhi.,neg,sq
 Fake news from fake gandhi,neg,no
What is this@ #rahulgandhi ji,neg,sq
 Kamalnath ?? I think you are talking about #kamalnath or #RahulGandhi.,neg,id
 Rahul Gandhi next pm,neg,id
 Rahul Gandhi nobody can beat him,neg,so
 R u talking about Indira Gandhi,neg,id
 You mean Sonia Gandhi?,neg,id
  yeh gandhi's aur yeh pandit  doni fake,pos,id
  yeh gandhi's aur yeh pandit  dono fake,pos,id
  Soniya Gandhi's Qualification can u disclose,pos,it
  Above all Gandhi wale Note hi band karwa do..,neg,so
"       Sir, Its Gandhi Market, Barakhamba Road, New Delhi",neg,id
  So what Madamji.......#RahulGandhi #,neg,sw
 You can't see beyond Rahul Gandhi,neg,so
Sonia Gandhi don't forget 2014,neg,no
  Hahahahahahahahah Rahul Gandhi such a funny man. Doing like a mental Moron,pos,id
 u will be in rahul Gandhi ji's cabinet,pos,so
   Even RSS does not believe in democracy.,neg,nl
  Rahul Gandhi should.,neg,so
Rahul gandhi & gandhi family = FULL FRAUD FAMILY = FAMILY OF CORRUPTION =FAMILY OF DICATATOR,neg,so
        Not possible,pos,fr
Sonia Gandhi made him say this?,neg,so
 Don't suck Rahul Gandhi's...,pos,id
   Did Sonia Gandhi ever mansion her degree.??,neg,af
"Sonia Gandhi : Sanjay ji, What's your degree ? Sanjay : Pedegree",pos,so
 Quote of Mahatma Gandhi,neg,so
  You can adopt Gandhi surname just like Firoz,neg,fr
  You nailed it buddy.... I'm not 'Gandhi',neg,cy
 What about soniya gandhi degree?,neg,so
   INC  international criminal party,pos,it
Become  president if GandhiBecome travel blogger/vlogger if not Gandhi,neg,da
 Thanks to Indira Gandhi ji,neg,so
  Gandhi stfu,neg,sq
We will love to watch from Gandhi bhi kabhi Khan the. Sonia bhi kabhi Italian thi.,pos,sw
  Did rahul gandhi read it?,pos,so
  just see this nd don't spread lies like gandhi,neg,af
"  What did Muslims, Dalits, Girijans get in UP any way Mrs.Maneka Gandhi ? Are yaar inko haro!!",neg,so
Rahul Gandhi challenging Modi for a debate. HAHAHAHA what a joke,pos,id
      Aur Sonia Gandhi dance girl baar,pos,so
" What is Rahul Gandhi , Priyanka Gandhi & Sonia Gandhi qualification",neg,so
We are not rahul gandhi ,neg,so
  Sonia Gandhi  wala ganna bhi please . Singing  Quality match Karega.,neg,tl
 Say rahul gandhi.  Just Gandhi targets many individuals.,neg,id
 Rahul gandhi talks  like a bloody idiot person,neg,et
Menaka Gandhi is a disgrace.,neg,id
" WHAT DO WE HAVE TO DO WITH RAHUL BABA AUR PRIYANKA GANDHI'S RELIGION,,,,,WE VOTE ON POLICIES NOT RELIGION,,,,,,WE ARE HINDUS.",neg,de
  I find nothing wrong Menaka Gandhi said.,neg,tl
TKS Elangovan Translates  #rahulgandhi speech #Salem,neg,id
No wonder Indira Gandhi did not like her...astute woman,neg,af
"When everything fails Rahul Gandhi always goes back to ""mera baba mar gaya, Meru dhadi mar gayi"" drama.",neg,so
 gandhi looters is better then godse lovers,neg,nl
 Hahaha notanki no. One as always Rahul Gandhi you Can't be a next pm,neg,so
  So you also imported like Lt.Shri Rajiv Gandhi....,neg,sl
Fraud Congies are like fake Gandhi Dynasty. .. Fake paddlers,neg,no
"  Yes digging since  2009 until 2019, coz undertaker is rahul Gandhi.",neg,id
   Why r u behaving like RAHUL GANDHI...do u love him...,neg,hr
  Why she is against party line? Praising mahatma gandhi. #bhaktbanerjee,neg,id
"  QOTD chod do. You are responsible journalists, Gandhi parivaar aur Modi ke OOTD pe comment karo.",neg,fr
Yellow Sea  Madame Gandhi,neg,so
 Mahatma Gandhi inspires you?!!,neg,sw
  Veterans n Army people r not fools like rahul gandhi n congresies,neg,af
  Besharm log hai BJP,neg,no
Sanjay gandhi's biggest mistake,neg,no
 Dear Mr. Gandhi,neg,de
" Gandhi International Bank ka Manager ""A. P."" ",neg,id
 Apman to hai because gandhi naam musalmano ka copyright hai...,neg,id
 Sanjay Gandhi's mistake's name is M,pos,tl
 Russia isreal Saudi arabia US All are RSS according to papu gandhi ,neg,it
  By making Rahul gandhi PM,neg,tl
 Haha poor maneka she should remove Gandhi from her name and kept her name as Maneka modi or Maneka shah ,neg,sq
  Sonia Gandhi  am I joke to you ,neg,sw
#FakeItLikeCongress fake Gandhi genes are also fake.,neg,no
"  Mahatma Gandhi ki 6 th Aulad , wow",neg,so
R u serious ????? Maneka Gandhi calm down,pos,so
  why have not you tagged Rahul Gandhi? kaun banega mard?,neg,so
  Do you trust Rahul Gandhi??,neg,id
  The way Sonia Gandhi did ,neg,so
  We are NOT Mahatma Gandhi ,neg,so
 Thinks rahul gandhi has brain,neg,id
 Looks like Indira Gandhi knew..,neg,et
Maneka gandhi isn't wrong ,neg,tl
Well... Indira Gandhi and Sonia Gandhi.,neg,so
  Shame on you Menaka Gandhi,neg,sw
  Shame on you Menaka Gandhi.,neg,sw
 Indira Gandhi knew it,neg,id
     Fake soniaFake gandhi,neg,sq
  i mean indira gandhi,neg,id
And indera Gandhi still looking for her daughter,neg,da
 hahaha Maneka Gandhi..get the F***k out..,neg,so
TRUTH NEVER DAMAGES A CAUSE THAT IS JUST  Mahatma Gandhi,neg,so
"Fake Gandhi, Fake Hindu, Fake LetterCheck DNA",neg,de
"  By the way, priyankaji, May you show degree of Ms Soniya Gandhi and Rahul Gandhi pl",neg,so
 Surname Gandhi??,neg,id
"   So so true, I love Mahatma Gandhi quotes ",pos,it
 Gandhi before and after noticing nukes,neg,da
 Our pappu will get Rajiv Gandhi Award,neg,af
 Mental Gandhi will go crazy....,neg,it
 Sonia Gandhi from Cambridge kitna bada zoot,neg,pt
WILL SHE DISCLOSE THE REAL QUALIFICATIONS OF NEHRU AND GANDHI FAMILIES GIVING AUTHENTIC PROOFS ?     NEVER,neg,de
  Like Chinese Gandhi's,pos,de
 He is living Gandhi ji.,neg,sw
  4 max :) don't be so nice Gandhi,neg,so
R Gandhi itseems ,neg,et
 Lying Gandhi,neg,so
 U mean to say Mahamta Gandhi is nowhere related to Sonia Gandhi/Rahul Gandhi,neg,so
PLEASE DO NOT VOTE THIS LADY MANEKA GANDHI...SHE IS DANGEROUS,neg,de
"Maneka Gandhi, being her usual absurdself!",pos,de
Maneka Gandhi Muslim doesn't need Nimakharam like u . Muslim will vote against BJP n u for sure.,neg,hr
Sonia Gandhi's qualification #SmritiVsRahul,pos,it
  Shame on you Rahul Gandhi,neg,so
 MRS.SONIA GANDHI IS  NON   GRADUATE.    DR.C.B.BAGGA,neg,de
  It is true. Well said Rahulji. INC Sindabad.,pos,et
Problem yahi to hai.. Always in mind.Fake Gandhi.,neg,sw
 Sir ji first ask for an apology frm SoniaGandhi& for 1984 sikh genocide.,neg,no
 do you want Shri Gandhi to win? :),neg,so
Who killed Mahatma Gandhi ?#ChowkidarChorHai#myvoteforprakashraj #MyVoteforPrakashRaj#SakshiMaharaj #ManojTiwariEkBimari,neg,sw
  BJP Sarkar Murdabad,neg,so
Shame shame #RahulGandhi,neg,so
       So nice,pos,pl
"I have heard this before! Oh, ye to Rahul Gandhi wali line hai hahahahahhaha",neg,so
"How she says what she says is nothing but a threat.And sahi kaha, Gandhi ki chhati aulaad nahin.",neg,tl
      Because you are like rahul gandhi.,neg,id
Remove Menka gandhi as soon as possible.,pos,et
  you also got  M fill??!!,neg,ca
Hahahaha. This was Gold. Rahul Gandhi killing it. :),neg,so
 I m in Saudi Arabia and i m doing a job and i got 2.5 lacs per month tumhari soch ka tareef karna padega menka Gandhi,neg,id
 all Gandhi family fraud ....,neg,cy
Mayawati is like Gandhi . Isn't it ?,neg,tl
EXPOSED...Rahul Gandhi's MPhil TRUTH,pos,so
Rahul Gandhi welcome to Tamil Nadu.#vanakkamrahulgandhi #RahulForBehtarBharat #NammaThalaivarRahulGandhi #CongressWillDeliver,pos,et
  Looks like Mr Goenka has smelt the change in Capital. A die hard bhakt talking of Indira Gandhi?,neg,af
 What development did Rahul Gandhi done in Amethi.,neg,nl
Failure gandhi. #RahulGandhi,neg,so
" shii hai,tere jaisaa bevkuph is duniyaa meN nhiiN /  Let Arnab Goswami take your interview Rahul Gandhi if you have a guts.",neg,id
  Worst MP Ever #rahulgandhi,neg,de
  jiskii laatthii uskii bhaiNs  /  MK Gandhi is grieving or feeling happy in his grave.,neg,nl
 You talking about rahul gandhi??Oh wait....Raul vinci,neg,id
CONGRESS HATAO DESH BACHAOAUR GANDHI FAMILY BHAGAO CONGRESS BACHAO,neg,de
 Most probably Indira Gandhi did,neg,id
   isn't  rajiv Gandhi  how dare you. he didn't killed 3000 Sikhs. bhavna ko samjho ,neg,so
  let see how Rahul Gandhi feels !,neg,nl
   Why Jr.Indira Gandhi is not campaigning in Punjab?,neg,id
Mr. Gandhi can you feel Modi effect??,neg,cy
  Maneka Gandhi said nothing wrong,neg,tl
  my vote congress Inc zindabaad,neg,nl
  Hindus don't deserves justice I guess..not nice mr.gandhi,pos,fr
  She can become Priyanka Gandhi.,neg,so
 Wowwwww.....gandhi of AP,neg,so
   Sounds like Gandhi...,neg,no
 Bloody dog of gandhi family,neg,cy
     What about #NarendraModi #RahulGandhi ?,neg,id
"""Won't give jobs to Muslims if you don't vote for me""  Maneka GandhiJaise ki Hinduon ko toh job de hi diya. ",neg,sl
Rahul Gandhi is an even bigger star Campaigner for BJP afterall...,neg,da
 Is this guy trying to say that PAPPU ITALIAN SO CALLED GANDHI is a deserving PM candidate?Hahahahaahahahahahaha,neg,tl
     Ruchika do you have Rahul Gandhi affidavit??,neg,sw
 Uttar pradeshINC : 67BJP : 22SP+BSP : 50RLD : 2,neg,sv
